Firm Name,FRN
ABC International Bank Plc,149025
Afin Bank Limited,1004742
AIB Group (UK) Plc,122088
Al Rayan Bank PLC,229148
Aldermore Bank Plc,204503
ALLICA BANK LIMITED,821851
Alpha Bank London Limited,135327
Arbuthnot Latham & Co Limited,143336
Atom Bank PLC,661960
Bank Mandiri (Europe) Limited,204424
Bank of Africa United Kingdom Plc,454750
Bank Of Baroda (UK) Limited,768016
Bank of Beirut (UK) Ltd,219523
BANK OF CEYLON (UK) LIMITED,514744
Bank of China (UK) Ltd,467410
Bank of Ireland (UK) Plc,512956
Bank of London and The Middle East plc,464292
Bank of Scotland plc,169628
Bank of the Philippine Islands (Europe) PLC,455378
Bank Saderat Plc,204488
Bank Sepah International Plc,208019
Barclays Bank Plc,122702
Barclays Bank UK PLC,759676
BIRMINGHAM BANK LIMITED,204478
British Arab Commercial Bank Plc,204564
Brown Shipley & Co Limited,124548
C Hoare & Co,122093
CAF Bank Ltd,204451
Cambridge & Counties Bank Limited,579415
Castle Trust Capital PLC,541910
Cater Allen Limited,178737
Charter Court Financial Services Limited,494549
Chetwood Financial Limited,740551
Citibank UK Limited,805574
ClearBank Limited,754568
Close Brothers Limited,124750
Clydesdale Bank Plc,121873
Coutts & Company,122287
Credit Suisse (UK) Limited,124269
Credit Suisse International,146702
Crown Agents Bank Limited,204456
Cynergy Bank Plc,575105
DB UK Bank Limited,140848
DF Capital Bank Limited,848291
EFG Private Bank Limited,144036
Europe Arab Bank plc,446951
FCE Bank Plc,204469
FCMB Bank (UK) Limited,502704
FidBank UK Limited,400712
FirstBank UK Limited,216772
Gatehouse Bank Plc,475346
GB Bank Limited,850286
Ghana International Bank Plc,204471
Goldman Sachs International Bank,124659
Griffin Bank Ltd,970920
Guaranty Trust Bank (UK) Limited,466611
Gulf International Bank (UK) Limited,124772
Habib Bank Zurich Plc,627671
HAMPDEN & CO PLC,606934
Hampshire Trust Bank Plc,204601
Handelsbanken plc,806852
Havin Bank Ltd,204481
HBL BANK UK LIMITED,188585
HSBC Bank Plc,114216
HSBC INNOVATION BANK LIMITED,543146
HSBC Private Bank (UK) Limited,124781
HSBC UK Bank Plc,765112
ICBC (London) plc,222030
ICBC Standard Bank Plc,124823
ICICI Bank UK Plc,223268
IFAST GLOBAL BANK LIMITED,716167
Investec Bank PLC,172330
Itau BBA International PLC,575225
J.P. Morgan Europe Limited,124579
J.P. Morgan Securities plc,155240
JN Bank UK Ltd,832786
Jordan International Bank Plc,183722
Julian Hodge Bank Limited,204439
KEXIM BANK (UK) LIMITED,204490
Kingdom Bank Ltd,400972
Kroo Bank Ltd,953772
KUWAIT FINANCE HOUSE PLC,131818
LHV BANK LIMITED,993767
Lloyds Bank Corporate Markets Plc,763256
Lloyds Bank PLC,119278
Marks & Spencer Financial Services Plc,151427
Melli Bank plc,207380
Methodist Chapel Aid Limited,204508
Metro Bank PLC,488982
Mizuho International plc,119256
Monument Bank Limited,849724
Monzo Bank Ltd,730427
Morgan Stanley Bank International Limited,195430
National Bank of Egypt (UK) Limited,204520
National Bank of Kuwait (International) Plc,171532
NATIONAL WESTMINSTER BANK PUBLIC LIMITED COMPANY,121878
NatWest Markets Plc,121882
Nomura Bank International Plc,204419
Northern Bank Limited,122261
OakNorth Bank plc,629564
OneSavings Bank Plc,530504
Oxbury Bank PLC,834822
Paragon Bank Plc,604551
Perenna Bank PLC,956138
Persia International Bank Plc,208020
Philippine National Bank (Europe) Plc,204532
Punjab National Bank (International) Limited,459701
QIB (UK) Plc,466577
Rathbones Investment Management Limited,116316
RBC Europe Limited,124543
RCI Bank UK Limited,815220
RECOGNISE BANK LIMITED,849404
REDWOOD BANK LIMITED,755924
Reliance Bank Ltd,204537
Revolut NewCo UK Ltd,981170
Sainsbury's Bank Plc,184514
Santander Financial Services plc,146003
Santander UK Plc,106054
Schroder & Co Ltd,144206
Secure Trust Bank Plc,204550
Shawbrook Bank Limited,204574
SMBC Bank International plc,223304
Standard Chartered Bank,114276
Starling Bank Limited,730166
State Bank Of India (UK) Limited,757156
StreamBank PLC,954876
Tandem Bank Limited,204479
TD Bank Europe Limited,165556
The Access Bank UK Limited,478415
The Bank of London Group Limited,930379
The Bank of New York Mellon (International) Limited,183100
The Charity Bank Limited,207701
The Co-operative Bank Plc,121885
The Royal Bank of Scotland Plc,114724
Triodos Bank UK Limited,817008
TSB Bank plc,191240
TURKISH BANK (UK) LIMITED,204566
Union Bancaire Privée (UK) Limited,119250
UNION BANK OF INDIA (UK) LIMITED,601551
United Bank for Africa (UK) Limited,695048
United National Bank Limited,207381
United Trust Bank Limited,204463
Unity Trust Bank Plc,204570
Vanquis Bank Limited,221156
Vida Bank Limited,738741
VTB Capital plc,144003
Weatherbys Bank Limited,204571
Zempler Bank Limited,671140
Zenith Bank (UK) Limited,451720
Zopa Bank Limited,800542
ABN AMRO Bank NV,523620
Adyen N.V.,779800
Agricultural Bank of China Limited London Branch,780077
Allfunds Bank S.A.U,444580
Allied Irish Banks Plc,204793
Arab Banking Corporation (B.S.C),455873
Arab National Bank,204608
Australia and New Zealand Banking Group Ltd,114151
Banco Bilbao Vizcaya Argentaria SA,139228
Banco de Sabadell,204720
Banco do Brasil SA,204612
"Banco Santander, S.A.",136261
Bangkok Bank Public Company Ltd,204617
"Bank of America, N.A.",124642
Bank of Baroda,204624
Bank of China Limited London Branch,170910
Bank of Communications Co Limited,727652
Bank of India,204629
Bank of Montreal,124788
Bank of Taiwan,230710
Bank Pictet & Cie (Europe) AG,989443
Banking Circle S.A.,848617
Banque Banorient France,204726
BNF Bank plc,836283
BNP Paribas,124605
CACEIS Bank,622691
Caixabank SA,447200
Canadian Imperial Bank of Commerce,141285
Canara Bank,204642
Chang Hwa Commercial Bank Ltd,204643
"Chiba Bank Ltd, The",205998
China Citic Bank Corporation Limited London Branch,812528
China Construction Bank Corporation London Branch,652628
"China Merchants Bank Co., Ltd",713033
China Minsheng Banking Corporation Limited London Branch,995574
CIMB Bank Berhad,204640
Citibank Europe plc,211646
"Citibank, N.A.",124704
Commerzbank AG,124920
Commonwealth Bank of Australia,139185
Conister Bank Limited,619002
Cooperatieve Rabobank U.A.,171596
Credit Agricole Corporate and Investment Bank,124344
Credit Agricole S.A.,124756
Credit Industriel et Commercial,204740
Danske Bank A/S,124655
DBS Bank Limited,204650
Deutsche Bank AG,150018
DNB Bank ASA,204731
"DZ Bank AG, Deutsche Zentral-Genossenschaftsbank",114029
Emirates NBD Bank (P.J.S.C),514680
"Eurobank Private Bank Luxembourg S.A.,  London Branch",681820
First Abu Dhabi Bank P.J.S.C.,204680
First Commercial Bank,204655
FirstRand Bank Limited,476154
Goldman Sachs Bank USA,582328
Gulf International Bank Bsc,204659
Habib Bank AG Zurich,113991
"Hua Nan Commercial Bank, Ltd",204666
Ikano Bank AB (publ),409120
Industrial and Commercial Bank of China Limited,629629
Industrial Bank of Korea,452448
ING Bank N.V.,124940
Intesa Sanpaolo SpA,191858
J.P. Morgan SE,755066
"JPMorgan Chase Bank, National Association",124491
KBC Bank NV,186820
KEB Hana Bank,204671
Kookmin Bank Co Ltd London Branch,788023
Landesbank Baden-Wurttemberg,204779
Lombard Odier (Europe) S.A.,597896
Macquarie Bank Ltd,170934
Malayan Banking Berhad,204674
Mashreqbank psc,204675
Mega International Commercial Bank Co. Ltd,458537
Mitsubishi UFJ Trust and Banking Corporation,124708
Mizrahi Tefahot Bank Limited,139212
"Mizuho Bank, Ltd.",139195
"MUFG BANK, LTD",139189
National Australia Bank Limited,141309
National Bank of Canada,204681
Natixis,206092
Nedbank Limited,204684
Nedbank Private Wealth Limited,313189
Nordea Bank Abp,812850
Northern Trust Global Services SE,829966
Oversea-Chinese Banking Corporation Limited,204687
PT Bank Negara Indonesia (Persero) Tbk,204622
Qatar National Bank (Q.P.S.C.),139256
RBC Investor Services Trust,435052
Riyad Bank,139220
Royal Bank of Canada,124783
Shanghai Commercial Bank Ltd,204699
"Shanghai Pudong Development Bank Co., Ltd",777597
Shinhan Bank,204645
Skandinaviska Enskilda Banken AB (Publ),124943
Societe Generale,124866
State Bank of India,139156
State Street Bank and Trust Company,170462
"Sumitomo Mitsui Banking Corporation, London Branch",769072
"Sumitomo Mitsui Trust Bank, Limited",124855
T C Ziraat Bankasi AS,204705
"The Bank of East Asia, Limited",204628
The Bank of New York Mellon,122467
The Bank of Nova Scotia,141308
The Governor and Company of the Bank of Ireland,204721
The Korea Development Bank - London Branch,190652
The Norinchukin Bank,204685
The Northern Trust Company,122020
The Royal Bank of Scotland International Limited,760675
The Toronto-Dominion Bank,124859
Turkiye Is Bankasi As,204708
U.S. Bank Europe DAC,462132
UBS AG,186958
"Union Bancaire Privee, UBP SA",147562
United Overseas Bank Ltd,204714
"Wells Fargo Bank, National Association",456183
Westpac Banking Corporation,124586
Woori Bank,204664
Bank J. Safra Sarasin (Gibraltar) Ltd,466838
Gibraltar International Bank Limited,666675
Lombard Odier & Cie (Gibraltar) Limited,462323
Moneycorp Bank Limited,751074
The Royal Bank of Scotland (Gibraltar) Ltd,232393
Trusted Novus Bank Limited,207244
Xapo Bank Limited,902001
Bank Frick AG,538098
Banque Transatlantique SA,456156
Bunq B.V.,838158
Byblos Bank Europe SA,204733
FinecoBank SPA,222329
Intesa Sanpaolo Wealth Management SA,474739
Lidion Bank Plc,591923
MILLEIS BANQUE,778827